,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
234,rhaglen,rhaglen,E,['Y2'],rhagleni,rhagleni,unk,['Z99']
235,rhaglen,rhaglen,E,['Y2'],Ralïo,Ralïo,E,['Z99']
236,rhaglen,rhaglen,E,['Y2'],chwaerraglen,chwaerraglen,unk,['Z99']
237,rhaglen,rhaglen,E,['Y2'],XRay,XRay,E,['Z99']
238,rhaglen,rhaglen,E,['Y2'],israglen,israglen,unk,['Z99']
240,diolch,diolch,B,['S1.2.4+'],Mulţumesc,Mulţumesc,E,['Z99']
241,diolch,diolch,E,['S1.2.4+'],takka,takka,unk,['Z99']
242,diolch,diolch,B,['S1.2.4+'],alíila,alíila,unk,['Z99']
243,diolch,diolch,E,['S1.2.4+'],ˈθaʰka,ˈθaʰka,unk,['Z99']
245,diolch,diolch,E,['S1.2.4+'],þakka,þakka,unk,['Z99']
246,diolch,diolch,B,['S1.2.4+'],takk,takk,unk,['Z99']
247,diolch,diolch,E,['S1.2.4+'],niolch,diolch | diolch,E | B,['Z99']
249,diolch,diolch,E,['S1.2.4+'],diolchwch,diolch | diolch,B | B,['S1.2.4+']
251,aelod,aelod,E,"['S5+/S2mf', 'B1']",Cynwleidydd,Cynwleidydd,E,['Z99']
254,aelod,aelod,E,"['S5+/S2mf', 'B1']",Cynaelod,Cynaelod,E,['Z99']
255,aelod,aelod,E,"['S5+/S2mf', 'B1']",grŵp,grŵp,E,"['S5+', 'A4.1', 'B3%']"
256,aelod,aelod,E,"['S5+/S2mf', 'B1']",Aaelod,Aaelod,E,['Z99']
257,aelod,aelod,E,"['S5+/S2mf', 'B1']",seneddol,seneddol,Ans,['G1.1']
258,aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodbleidiau,aelodbleidiau,unk,['Z99']
259,aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodaeth,aelodaeth,E,"['S5+c', 'P1']"
260,gair,gair,E,['Q3'],ystyr,ystyr,E,"['X2.1', 'A11.1+', 'Q3', 'X7+']"
261,gair,gair,E,['Q3'],ahal,ahal,unk,['Z99']
262,gair,gair,E,['Q3'],rhegair,rhegair,unk,['Z99']
263,gair,gair,E,['Q3'],Geirdarddiad,Geirdarddiad,E,['Z99']
264,gair,gair,E,['Q3'],asSuʻūdīyah,asSuʻūdīyah,unk,['Z99']
265,gair,gair,E,['Q3'],geirdarddiad,geirdarddiad,unk,['Z99']
266,gair,gair,E,['Q3'],merin,merin,unk,['Z99']
267,gair,gair,E,['Q3'],Geiryn,Geiryn,E,['Z99']
268,gair,gair,E,['Q3'],verbum,verbum,unk,['Z99']
269,gair,gair,E,['Q3'],fasces,fasces,unk,['Z99']
270,oed,oed,E,"['T3++', 'T3']",mlwydd,blwydd,E,"['T1.3', 'P1c']"
