word,sense,synset
hanes,history,hanesydd
hanes,history,hanes achos
hanes,history,oes
hanes,history,hanesyddol
hanes,history,adroddiad
hanes,history,cyfrif
hanes,history,traddodiad
hanes,history,hanes crefyddau
hanes,history,erthygl
hanes,history,crynodeb
hanes,history,llyfr hanes
hanes,history,hanes cymdeithasol
hanes,history,portread
hanes,history,perthynas
hanes,history,cronicl
hanes,history,hanes amaethyddiaeth
hanes,history,digywddiad o'r gorffennol
hanes,history,datganiad
hanes,history,hanesyn
hanes,history,hanes eglwysig
hanes,history,cyfarwyddyd
hanes,history,hanes sefydliadau
hanes,history,hanes y gyfraith
hanes,history,hanes ardal
hanes,history,hanesiaeth
hanes,history,digwyddiad
hyd,length,pellter
hyd,length,meithder
hyd,length,mesuriad
hyd,length,lled
hyd,length,amser
hyd,length,pwythyn
hyd,length,hir
hyd,length,meithni
hyd,length,hydoedd
hyd,length,hirder
hyd,length,ystod
hyd,length,cwmpas
hyd,length,diamedr
hyd,length,gwagle
hyd,length,parhad
hyd,length,mesur
hyd,length,cyhyd
hyd,length,ehangder
hyd,length,bwlch
hyd,length,gofod
hyd,length,ymestyn
hyd,length,maint
hyd,length,parhau
hyd,length,ffordd
hyd,length,ysbaid
hyd,length,dimensiwn
hyd,length,hydion
hyd,length,llaten
hyd,length,estyniad
hyd,length,byr
hyd,length,ymerodrol
hyd,length,metrig
hyd,length,radiws
llun,image,darlun
llun,image,portread
llun,image,ffotograff
llun,image,lluniad
llun,image,delwedd
llun,image,adlewyrchiad
llun,image,drych
llun,image,delfryd
llun,image,delw
llun,image,braslun
llun,image,murlun
llun,image,symbol
llun,image,celf
llun,image,arwyddlun
llun,image,pictiwr
llun,image,cerflun
llun,image,dyluniad
llun,image,ffigwr
llun,image,diagram
llun,image,paentiad
llun,image,ffurf
llun,image,edrychiad
llun,image,hunlun
llun,image,ffigur
llun,image,camera
llun,image,eicon
llun,image,gwedd
llun,image,patrwm
man,location,lle
man,location,lleoliad
man,location,safle
man,location,ardal
man,location,pwynt
man,location,llecyn
man,location,mangre
man,location,rhywle
man,location,rhanbarth
man,location,maes
man,location,gofod
man,location,golygfa
man,location,man argraffu
man,location,lled
man,location,man cyhoeddi
man,location,rhan
man,location,man cyfarfod
man,location,cymdogaeth
man,location,gosodiad
man,location,bro
man,location,man cychwyn
man,spot / blemish,smotyn
man,spot / blemish,marc
man,spot / blemish,ploryn
man,spot / blemish,brycheuyn
man,spot / blemish,sbotyn
man,spot / blemish,ysmotyn
man,spot / blemish,pothell
man,spot / blemish,toriad
man,spot / blemish,mefl
man,spot / blemish,llecyn
man,spot / blemish,craith
man,spot / blemish,nam
man,spot / blemish,dot
man,spot / blemish,staen
man,spot / blemish,brycheun
man,spot / blemish,tosau
man,spot / blemish,amherffeithrwydd
man,spot / blemish,afliwiad
man,spot / blemish,llinorod
man,spot / blemish,cramen
man,spot / blemish,difwyno
man,spot / blemish,croen
man,spot / blemish,pothelli
man,spot / blemish,chwydd
man,spot / blemish,blotyn
man,spot / blemish,casgliad
man,spot / blemish,swigen
man,spot / blemish,anaf
man,spot / blemish,tosyn
man,spot / blemish,llinoryn
diwrnod,day,dydd
diwrnod,day,cyfnod
diwrnod,day,undydd
diwrnod,day,adeg
diwrnod,day,dwthwn
diwrnod,day,dyddgwaith
diwrnod,day,amser
diwrnod,day,diwrnod
diwrnod,day,bore
diwrnod,day,pedair awr ar hugain
diwrnod,day,nos
diwrnod,day,deuddydd
diwrnod,day,diwrnod gwaith
diwrnod,day,hyd
diwrnod,day,beunydd
diwrnod,day,dyddiad
diwrnod,day,diwrnod agored
diwrnod,day,oes
diwrnod,day,eilddydd
diwrnod,day,dyddio
diwrnod,day,dyddiol
diwrnod,day,diwrnod haul
diwrnod,day,dyddiau
diwrnod,day,canol dydd
diwrnod,day,diwrnod hyfforddi
diwrnod,day,dechrau'r dydd
diwrnod,day,drannoeth
diwrnod,day,wythnos
diwrnod,day,heddiw
diwrnod,day,diwedd y dydd
diwrnod,day,24 awr
rhyw,sex (act),cyfathrach rywiol
rhyw,sex (act),cysgu
rhyw,sex (act),perthynas
rhyw,sex (act),gweithred rywiol
rhyw,sex (act),rhywiol
rhyw,sex (act),atgenhedlu
rhyw,sex (act),caru
rhyw,sex (act),cyfathrach rhywiol
rhyw,sex (act),cyfathrach
rhyw,sex (act),carwr
rhyw,sex (act),rhywioldeb
rhyw,sex (act),rhywogaeth
rhyw,sex (act),undeb
rhyw,sex (act),godineb
rhyw,sex (act),serch
rhyw,sex (act),uniad
rhyw,sex (act),atgenhedliad
rhyw,sex (act),chwant
rhyw,sex (act),cyplu
rhyw,sex (act),cysylltiad
rhyw,sex (act),atgynhyrchiad
rhyw,sex (act),ymgydio
rhyw,sex (act),epiliad
rhyw,sex (act),angerdd
